Page,Codename,LT,EN,RU,LV,EE
greeting,repeat-animation,Patiko! Kartoti,Nice! Repeat it,Нравится! Повторить,Patīk! Atkārto to,Väga hea! Veelkord
greeting,create-your-own,Noriu sukurti savo atviruką!,Create my own greating!,Создай своё поздравление!,Izveido savu apsveikumu!,Loo oma tervituskaart! 
faq,1st-step-headline,Nuotraukų įkėlimas,Upload photos,Закачать фото,Pievieno fotogrāfijas,Lae pilte
faq,1st-step-description,Sveikinimo apačioje pasirinkite patinkantį personažo veidą.<br /><br />Dabar išsirinkite draugų nuotraukas – galite naudotis bičiulių Facebook`o arba savo kompiuterio albumais. Nebūtina naudoti visų personažų.,Choose character's face below greeting.<br /><br />Select photos to upload - You can use photos from Your computer or Facebook profile. You can upload photos for all or just some characters.,Выбрать лица для персонажей! Выбрать фото для закачивания - можно использовать фото из своих файлов или со странички Facebook. Можно закачать фото для одного из персонажей или для всех.,Izvēlies personāžu zem apsveikuma. Atlasi pievienotās fotogrāfijas - vari izmantot fotogrāfijas no sava datora vai Facebook profila.Vari pievienot visu vai dažu personāžu fotogrāfijas.,Vali tervitusteksti alt tegelase nägu. Vali üleslaadimiseks oma fotod - võid valida pilte oma arvutist või Facebooki kontolt. Võimalus on laadida üles fotod kõikidele tegelastele või valikuliselt.  
faq,2nd-step-headline,Sveikinimo žodis,Enter greeting text,Ввести текст поздравления,Ievieto apsveikuma tekstu,Sisesta tervitustekst
faq,2nd-step-description,"Pageidautina, bet nebūtina, –  jūsų sveikinimas ar linkėjimas draugams.<br /><br />Į atviruką telpa tekstas iki 500 simbolių. ",Desired but not necessary - Your own greeting text.<br /><br />Up to 500 symbols allowed.,"Желательно, но не обязательно - ваш собственный текст поздравления до 500 символов.","Vēlams,bet nav nepieciešams - Tava apsveikuma teksts pieļaujams līdz 500 simboliem.","Soovitatav , kuid mitte tingimuslik - Sinu enda tervitustekst. Kuni 500 tähemärki."
faq,3rd-step-headline,Išsiųskite atviruką,Share it with friends,Поделиться с друзьями,Dalies tajā ar draugiem,Jaga seda sõpradega
faq,3rd-step-description,"Šaunu! Sukūrėte nepakartojamą atviruką –  išsiųskite draugams ir pasveikinkite su šventėmis. <br /><br />
Facebook`o draugams galite siųsti unikalią atviruko nuorodą.<br /><br />Atviruką galite išsisaugoti jpg formatu kompiuteryje, atsispausdinti ir siųsti paštu, pridėti prie dovanų.",Nice! You have created unique greeting - share it with Your friends and congratulate them!<br /><br />You can send a unique link to your Facebook friends<br /><br />You can also save JPG greeting on Your computer and send it by mail.,"Здорово! Вы создали уникальное поздравление. Поделитесь с друзьями и позравьте их. Можно послать линк друзьям со странички Facebook, сохранить JPG формат поздравления на компьютер или послать по электронной почте.","Jauki! Tu izveidoji unikālu apsveikumu - dalies ar draugiem un apsveic viņus!Tu vari nosūtīt unikālu saiti Facebook draugiem, saglabā JPG apsveikumu savā datorā vai nosūti apsveikumu pa epastu.","Väga hea! Oled sisestanud enda tervitusteksti - jaga seda sõpradega ja tervita neid! Facebooki sõpradele saad saata selle eraldi lingina, salvesta tervitsukaart JPG formaadis oma arvutisse ja saada e-mailiga. "
faq,button-headline,Supratau!,Understood!,Понятно!,Sapratu!,Mõistan!
faq,button-text,Judam toliau,Continue,Продолжить,Turpināt,Jätka
1st-step-main,upload-pic-from-pc,Įkelti nuotrauką iš kompiuterio,Upload photo from computer,Закачать фото с компьютера,Pievieno fotogrāfijas no datora,Lae pilt oma arvutist
1st-step-main,upload-pic-from-fb,Įkelti nuotrauką iš Facebook`o,Upload photo from Facebook,Закачать фото с Facebook,Pievieno fotogrāfijas no Facebook,Lae pilt Facebooki kontolt
1st-step-main,edit-pic,Redaguoti nuotrauką,Edit photo,Редактировать фото,Pievieno fotogrāfiju,Muuda pilti
